id,sid,reading,ses,race
10000001,1861,60.9653,-0.126,W
10000002,2113,50.6641,0.2687,W
10000004,2070,41.4649,-0.257,W
10000005,1079,57.6624,0.2832,H
10000006,1210,43.0131,-0.694,W
10000007,1282,54.5882,-0.579,W
10000008,1003,54.1093,0.887,W
10000009,2102,40.9377,-0.622,W
10000010,1700,40.9315,-1.5,H
10000011,1478,53.0435,0.8523,W
10000012,1144,53.9463,-0.75,B
10000013,1203,63.5858,0.8692,W
10000014,1433,61.0533,-0.07,W
10000017,1441,54.6149,0.1011,W
10000019,1875,52.7828,1.424,W
10000020,1365,53.469,-0.125,A
10000021,1326,54.0431,0.5353,W
10000022,1405,60.9877,1.357,A
10000023,1993,71.3722,1.21,W
10000024,2329,99.2274,1.015,W
10000026,1062,39.9062,-0.46,B
10000027,1540,39.0179,-0.652,H
10000028,1281,46.3209,-0.574,B
10000029,2042,58.7342,-0.428,W
10000030,1704,54.0008,-0.01,W
10000031,1069,47.6757,-0.875,W
10000032,1691,59.6659,0.5991,W
10000033,1939,53.0543,-0.613,W
10000034,2008,58.6207,-0.614,B
10000035,2282,43.6221,-1.3,W
10000036,1955,60.6506,-0.784,HPI
10000038,1603,46.0059,0.2462,H
10000040,1568,46.0958,0.6586,A
10000041,1633,73.0942,1.223,W
10000042,2311,44.7406,-1.31,B
10000043,1679,45.6749,-0.109,H
10000045,1083,45.258,-0.957,W
10000046,2006,60.1569,0.9014,W
10000047,1438,51.5844,0.5849,W
10000049,2281,52.3349,-1.81,W
10000051,1258,54.1716,-1.3,W
10000052,1365,41.0795,-0.605,W
10000053,1915,43.4769,0.5009,W
10000054,1127,61.0052,0.196,W
10000056,1034,53.3179,0.2646,H
10000057,1158,58.0056,0.3521,W
10000058,1325,56.8542,-0.064,W
10000060,1746,50.9707,0.3058,W
10000061,1185,50.3663,-0.411,H
10000062,1499,49.2426,-0.587,H
10000063,1273,67.007,-0.226,H
10000064,2258,52.8697,0.736,W
10000066,1480,53.692,0.6497,H
10000067,1216,44.1185,2.12,A
10000068,1599,52.9373,-1.3,H
10000070,1689,54.0628,0.7557,W
10000071,2122,46.7467,-0.236,W
10000072,2300,66.7925,2.103,H
10000073,1691,53.2155,-0.77,B
10000075,2006,60.0342,1.196,W
10000076,1645,42.9968,-0.206,W
10000078,2016,39.2439,-1.01,AI
10000079,1619,54.6501,-0.006,W
10000081,2003,52.6786,0.4064,W
10000082,1840,39.2232,1.053,W
10000083,1361,42.2771,-1.28,A
10000084,1067,55.5014,0.6366,H
